Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,43.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
19 janvier 2022,668.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,669.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
22 février 2022,1961.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
01 août 2022,2939.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 août 2022,3180.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
11 octobre 2022,3683.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er,PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
11 octobre 2022,3685.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er,PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
19 octobre 2022,4065.0,ÉVOLUTION DE LA FORMATION  DE SAGE-FEMME,Article unique,ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
25 octobre 2022,4169.0,QUESTIONS ORALES,,
25 octobre 2022,4170.0,QUESTIONS ORALES,,
14 novembre 2022,5395.0,ENSEIGNEMENT PROFESSIONNEL,,
21 novembre 2022,6104.0,LOI DE FINANCES POUR 2023,Après l’article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6110.0,LOI DE FINANCES POUR 2023,Après l’article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6294.0,LOI DE FINANCES POUR 2023,Après l’article 9,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6336.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6338.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6592.0,LOI DE FINANCES POUR 2023,Article 15,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6610.0,LOI DE FINANCES POUR 2023,Après l’article 18,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,6994.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7006.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7010.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7011.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7018.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7029.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7030.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7033.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7036.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7037.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7038.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7039.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7048.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7143.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7371.0,LOI DE FINANCES POUR 2023,Après l’article 46,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
03 novembre 2022,4507.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4526.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 3  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4582.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 4,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4587.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 5,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4588.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 5,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4592.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 6,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
04 novembre 2022,4628.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 9,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4660.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 11 ter,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4669.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 11 quinquies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4678.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 11 nonies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4692.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 11 decies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
09 novembre 2022,5068.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
09 novembre 2022,5069.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
01 décembre 2022,7505.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
