Date_seances,Num_page,Titre,Texte,Thème
10 janvier 2022,187.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,188.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,189.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
19 janvier 2022,676.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,677.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
26 janvier 2022,1008.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
26 janvier 2022,1009.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
26 janvier 2022,1017.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
03 février 2022,1319.0,QUESTIONS ORALES,,
03 février 2022,1320.0,QUESTIONS ORALES,,
03 février 2022,1321.0,QUESTIONS ORALES,,
03 février 2022,1322.0,QUESTIONS ORALES,,
03 février 2022,1323.0,QUESTIONS ORALES,,
03 février 2022,1324.0,QUESTIONS ORALES,,
