Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,71.0,POLITIQUE MISE EN PLACE PAR LE GOUVERNEMENT POUR CONFORTER LA SOUVERAINETÉ MARITIME FRANÇAISE SUR LES OCÉANS ET GARANTIR NOS INTÉRÊTS ÉCONOMIQUES ET STRATÉGIQUES,,
05 janvier 2022,103.0,ADOPTION D’UNE DÉCLARATION  DE LA FIN DE LA GUERRE DE CORÉE,,
05 janvier 2022,104.0,ADOPTION D’UNE DÉCLARATION  DE LA FIN DE LA GUERRE DE CORÉE,,
11 janvier 2022,238.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
12 janvier 2022,385.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,386.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,412.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er octies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 janvier 2022,481.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,491.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,495.0,GESTION DE LA CRISE SANITAIRE,Article 1er nonies B (Suppression maintenue),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
19 janvier 2022,664.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
23 février 2022,2044.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
01 mars 2022,2221.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
06 juillet 2022,2269.0,DÉCLARATION DU GOUVERNEMENT SUIVIE D’UN DÉBAT,,
06 juillet 2022,2279.0,DÉCLARATION DU GOUVERNEMENT SUIVIE D’UN DÉBAT,,
12 juillet 2022,2298.0,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
19 juillet 2022,2362.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DE LA CONVENTION DU CONSEIL DE L’EUROPE CONTRE LE TRAFIC D’ORGANES HUMAINS
