Date_seances,Num_page,Titre,Texte,Thème
20 janvier 2022,802.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 4,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ ET D’UNE PROPOSITION DE LOI ORGANIQUE DANS LE TEXTE DE LA COMMISSION
20 janvier 2022,820.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,821.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,823.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,826.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,827.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,828.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,829.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,830.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,831.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,832.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,833.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,834.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,835.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,836.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,837.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,840.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,841.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,842.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 4,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,843.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 4,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,845.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,847.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,849.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,851.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,852.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,855.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,856.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,859.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,860.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,861.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,862.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 7,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,863.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 8,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,864.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 8,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,865.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 8,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,866.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 8 bis (Supprimé),PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,867.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 10,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,869.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 11 ter,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,871.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS FINALES Article 12 A,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,872.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 13 (Suppression maintenue) Vote sur l’ensemble,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,873.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 1er bis (nouveau),PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
20 janvier 2022,874.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 1er bis (nouveau),PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
20 janvier 2022,875.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
27 janvier 2022,1168.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 3 ter (Supprimé) Après l’article 3 ter,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1169.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,AMÉLIORATION DU TRAITEMENT JUDICIAIRE DES FAITS DE HARCÈLEMENT SCOLAIRE ET UNIVERSITAIRE Article 4,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1170.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,AMÉLIORATION DU TRAITEMENT JUDICIAIRE DES FAITS DE HARCÈLEMENT SCOLAIRE ET UNIVERSITAIRE Article 4,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1171.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 4 bis,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1172.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 4 bis,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1173.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 6 (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1174.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 7 (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1176.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 7,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
01 février 2022,1187.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1189.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1191.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1192.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1193.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1195.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1196.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1197.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1198.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1199.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1200.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
09 février 2022,1501.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
09 février 2022,1507.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
09 février 2022,1508.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
16 février 2022,1769.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
16 février 2022,1770.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
16 février 2022,1781.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,,ADOPTION DÉFINITIVE DES CONCLUSIONS MODIFIÉES DE COMMISSIONS MIXTES PARITAIRES SUR UNE PROPOSITION DE LOI ET UNE PROPOSITION DE LOI ORGANIQUE
16 février 2022,1792.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 3,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
05 octobre 2022,3501.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
25 novembre 2022,6822.0,LOI DE FINANCES POUR 2023,Après l’article 46 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6828.0,LOI DE FINANCES POUR 2023,Après l’article 46 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7088.0,QUESTIONS ORALES,,
29 novembre 2022,7089.0,QUESTIONS ORALES,,
29 novembre 2022,7090.0,QUESTIONS ORALES,,
29 novembre 2022,7091.0,QUESTIONS ORALES,,
29 novembre 2022,7092.0,QUESTIONS ORALES,,
29 novembre 2022,7093.0,QUESTIONS ORALES,,
29 novembre 2022,7094.0,QUESTIONS ORALES,,
13 décembre 2022,8287.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8288.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8289.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
07 décembre 2022,8130.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
