Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,136.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
05 janvier 2022,137.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
22 février 2022,1977.0,INNOVATION EN SANTÉ,Article 9 (Non modifié),ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
22 février 2022,1984.0,INNOVATION EN SANTÉ,Article 9 (Non modifié),ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
22 février 2022,1991.0,INNOVATION EN SANTÉ,Article 3,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1992.0,INNOVATION EN SANTÉ,Article 5,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1993.0,INNOVATION EN SANTÉ,Article 6,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1995.0,INNOVATION EN SANTÉ,Article 9,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1996.0,INNOVATION EN SANTÉ,Article 10,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1997.0,INNOVATION EN SANTÉ,Article 11,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1998.0,INNOVATION EN SANTÉ,Après l’article 12,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1999.0,INNOVATION EN SANTÉ,Article 13,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2000.0,INNOVATION EN SANTÉ,FAVORISER L’ACCÈS DES PATIENTS  À L’INNOVATION Article 14,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2001.0,INNOVATION EN SANTÉ,FAVORISER L’ACCÈS DES PATIENTS  À L’INNOVATION Article 14,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2002.0,INNOVATION EN SANTÉ,Après l’article 15,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2003.0,INNOVATION EN SANTÉ,Article 16,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2004.0,INNOVATION EN SANTÉ,Article 16,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2005.0,INNOVATION EN SANTÉ,Article 16,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2006.0,INNOVATION EN SANTÉ,Article 16,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2007.0,INNOVATION EN SANTÉ,Article 16,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
