Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,34.0,"TROIS ANS APRÈS LA LOI « ASILE ET IMMIGRATION », QUEL EST LE NIVEAU RÉEL DE MAÎTRISE DE L’IMMIGRATION PAR LES POUVOIRS PUBLICS ?",,
04 janvier 2022,35.0,"TROIS ANS APRÈS LA LOI « ASILE ET IMMIGRATION », QUEL EST LE NIVEAU RÉEL DE MAÎTRISE DE L’IMMIGRATION PAR LES POUVOIRS PUBLICS ?",,
18 janvier 2022,561.0,DÉMOCRATISATION DU SPORT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,568.0,DÉMOCRATISATION DU SPORT,Article 1er bis,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
25 janvier 2022,937.0,AGENCES DE L’EAU,,
25 janvier 2022,938.0,AGENCES DE L’EAU,,
03 février 2022,1322.0,QUESTIONS ORALES,,
03 février 2022,1343.0,QUELLE RÉGLEMENTATION POUR LES PRODUITS ISSUS DU CHANVRE ? Débat organisé à la demande du groupe Écologiste - Solidarité et Territoires,,
03 février 2022,1344.0,QUELLE RÉGLEMENTATION POUR LES PRODUITS ISSUS DU CHANVRE ? Débat organisé à la demande du groupe Écologiste - Solidarité et Territoires,,
03 février 2022,1375.0,"ÉVALUATION DE L’OPPORTUNITÉ ET DE L’EFFICACITÉ DES AIDES VERSÉES AU TITRE DU PLAN DE RELANCE DANS LE CADRE DE LA CRISE SANITAIRE Débat organisé à la demande du groupe Socialiste, Écologiste et Républicain",,
09 février 2022,1641.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 février 2022,1726.0,CHOIX DU NOM ISSU DE LA FILIATION,Article 8 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 février 2022,1730.0,CHOIX DU NOM ISSU DE LA FILIATION,Article 8 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 février 2022,1731.0,CHOIX DU NOM ISSU DE LA FILIATION,Article 8 (Supprimé),PROPOSITION DE LOI RELATIVE AU CHOIX DU NOM ISSU DE LA FILIATION
15 février 2022,1736.0,CHOIX DU NOM ISSU DE LA FILIATION,Après l’article 1er,PROPOSITION DE LOI RELATIVE AU CHOIX DU NOM ISSU DE LA FILIATION
15 février 2022,1737.0,CHOIX DU NOM ISSU DE LA FILIATION,Article 2,PROPOSITION DE LOI RELATIVE AU CHOIX DU NOM ISSU DE LA FILIATION
16 février 2022,1814.0,DÉMOCRATISATION DU SPORT,Article 3,REJET EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
16 février 2022,1817.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,Article 3,REJET EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
17 février 2022,1841.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
17 février 2022,1848.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Après l’article 1er septdecies,PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
17 février 2022,1849.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Après l’article 1er septdecies,PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
22 février 2022,1946.0,RÉGULATION DU MARCHÉ DE L’ART,Article unique,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
22 février 2022,1960.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
22 février 2022,1963.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
