Date_seances,Num_page,Titre,Texte,Thème
25 janvier 2022,894.0,QUESTIONS ORALES,,
25 janvier 2022,895.0,QUESTIONS ORALES,,
26 janvier 2022,1043.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1044.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1046.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 1er,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1048.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 1er,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1066.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1067.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
25 octobre 2022,4179.0,QUESTIONS ORALES,,
25 octobre 2022,4180.0,QUESTIONS ORALES,,
25 octobre 2022,4248.0,FONCTIONNEMENT DU MARCHÉ  DU TRAVAIL  EN VUE DU PLEIN EMPLOI,Article 1er bis AA  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
25 octobre 2022,4268.0,FONCTIONNEMENT DU MARCHÉ DU TRAVAIL  EN VUE DU PLEIN EMPLOI,Après l’article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
08 novembre 2022,4962.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4968.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4973.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4974.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5204.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 25,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5205.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 25,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5253.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 31 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5315.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 36,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5324.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 37 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5904.0,LOI DE FINANCES POUR 2023,Après l’article 3 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5907.0,LOI DE FINANCES POUR 2023,Après l’article 3 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5922.0,LOI DE FINANCES POUR 2023,Après l’article 4,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5923.0,LOI DE FINANCES POUR 2023,Après l’article 4,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6140.0,LOI DE FINANCES POUR 2023,Après l’article 5  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6490.0,LOI DE FINANCES POUR 2023,Après l’article 11 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6491.0,LOI DE FINANCES POUR 2023,Après l’article 11 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6492.0,LOI DE FINANCES POUR 2023,Après l’article 11 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
