Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,8.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
05 janvier 2022,86.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,87.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,88.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
06 janvier 2022,150.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
06 janvier 2022,164.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
11 janvier 2022,239.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,243.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,264.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,265.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,293.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
