Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,21.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,22.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
05 janvier 2022,144.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
18 janvier 2022,561.0,DÉMOCRATISATION DU SPORT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,567.0,DÉMOCRATISATION DU SPORT,Article 1er bis,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,573.0,DÉMOCRATISATION DU SPORT,Article 1er ter A (nouveau),"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
25 janvier 2022,912.0,QUESTIONS ORALES,,
25 janvier 2022,913.0,QUESTIONS ORALES,,
03 février 2022,1342.0,QUELLE RÉGLEMENTATION POUR LES PRODUITS ISSUS DU CHANVRE ? Débat organisé à la demande du groupe Écologiste - Solidarité et Territoires,,
24 février 2022,2158.0,CERTIFICATION DE CYBERSÉCURITÉ DES PLATEFORMES NUMÉRIQUES Adoption définitive en deuxième lecture d’une proposi-tion de loi dans le texte de la commission,Article unique (Non modifié),PROPOSITION DE LOI RELATIVE AU MONDE COMBATTANT
02 août 2022,2995.0,QUESTIONS ORALES,,
22 novembre 2022,6300.0,LOI DE FINANCES POUR 2023,Article 9 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6531.0,LOI DE FINANCES POUR 2023,Après l’article 14,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6681.0,LOI DE FINANCES POUR 2023,Article liminaire,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
06 décembre 2022,8105.0,DÉBAT PRÉALABLE À LA RÉUNION  DU CONSEIL EUROPÉEN  DES 15 ET 16 DÉCEMBRE 2022,Article 2,PROPOSITION DE LOI SUR LE DÉROULEMENT DES ÉLECTIONS SÉNATORIALES
13 décembre 2022,8300.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
13 décembre 2022,8367.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,DISPOSITIONS D’ADAPTATION  AU DROIT DE L’UNION EUROPÉENNE  EN MATIÈRE DE TRANSPORTS Article 26,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
13 décembre 2022,8368.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,DISPOSITIONS D’ADAPTATION  AU DROIT DE L’UNION EUROPÉENNE  EN MATIÈRE DE TRANSPORTS Article 26,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
13 décembre 2022,8369.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,DISPOSITIONS D’ADAPTATION  AU DROIT DE L’UNION EUROPÉENNE  EN MATIÈRE DE TRANSPORTS Article 26,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
13 décembre 2022,8370.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,Après l’article 26,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
13 décembre 2022,8373.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,Article 28,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
13 décembre 2022,8374.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,Article 28,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
