Date_seances,Num_page,Titre,Texte,Thème
02 février 2022,1286.0,CARACTÈRE UNIVERSEL  DES ALLOCATIONS FAMILIALES Adoption d’une proposition de loi  dans le texte de la commission,,PROPOSITION DE LOI TENDANT À RENFORCER L’UNIVERSALITÉ DES ALLOCATIONS FAMILIALES
23 février 2022,2030.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 octobre 2022,3528.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
18 novembre 2022,5790.0,LOI DE FINANCES POUR 2023,Après l’article 3 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5796.0,LOI DE FINANCES POUR 2023,Article 3 quater (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5797.0,LOI DE FINANCES POUR 2023,Article 3 quater (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7286.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7306.0,LOI DE FINANCES POUR 2023,Après l’article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7307.0,LOI DE FINANCES POUR 2023,Après l’article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7321.0,LOI DE FINANCES POUR 2023,Article 45 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7648.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7687.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7811.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7828.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7829.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7830.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7831.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7832.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7833.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7834.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7835.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7836.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
