Date_seances,Num_page,Titre,Texte,Thème
18 janvier 2022,526.0,QUESTIONS ORALES,,
18 janvier 2022,527.0,QUESTIONS ORALES,,
01 février 2022,1224.0,DÉBAT SUR LE SUIVI DES ORDONNANCES,,
01 mars 2022,2228.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
12 juillet 2022,2296.0,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
12 juillet 2022,2297.0,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
04 octobre 2022,3454.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
04 octobre 2022,3470.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
04 octobre 2022,3471.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
05 octobre 2022,3559.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
