Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,31.0,"TROIS ANS APRÈS LA LOI « ASILE ET IMMIGRATION », QUEL EST LE NIVEAU RÉEL DE MAÎTRISE DE L’IMMIGRATION PAR LES POUVOIRS PUBLICS ?",,
11 janvier 2022,238.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,244.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,253.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,267.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,276.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,277.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,285.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,298.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,301.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,302.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,303.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,378.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,379.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
