Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,381.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
02 février 2022,1264.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
21 février 2022,1911.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
21 février 2022,1913.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
21 février 2022,1916.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 4 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1919.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 6 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1924.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 22 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
03 août 2022,3318.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
05 octobre 2022,3526.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
15 novembre 2022,5487.0,SOUTIEN AUX ÉDILES  VICTIMES D’AGRESSION,Article 1er,"PROPOSITION DE LOI VISANT À PERMETTRE AUX DIFFÉRENTES ASSOCIATIONS D’ÉLUS DE SE CONSTITUER PARTIE CIVILE POUR SOUTENIR PLEINEMENT, AU PÉNAL, UN ÉDILE VICTIME D’AGRESSION"
15 novembre 2022,5500.0,MODALITÉS D’INCARCÉRATION  OU DE LIBÉRATION À LA SUITE  D’UNE DÉCISION DE COUR D’ASSISES,Article 3 (nouveau),ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
24 novembre 2022,6685.0,LOI DE FINANCES POUR 2023,Article liminaire,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6686.0,LOI DE FINANCES POUR 2023,Article liminaire,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
