Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,87.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,131.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
05 janvier 2022,132.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
06 janvier 2022,160.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
11 janvier 2022,249.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,251.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,261.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,278.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,295.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,349.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,363.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,392.0,GESTION DE LA CRISE SANITAIRE,Article 1er bis A (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,396.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er bis A,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,399.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er bis A  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,401.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er bis A  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
