Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,20.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,21.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
25 janvier 2022,901.0,QUESTIONS ORALES,,
26 janvier 2022,1014.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
28 juillet 2022,2681.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Revalorisation anticipée  de prestations sociales Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
06 octobre 2022,3587.0,QUESTIONS ORALES,,
06 octobre 2022,3588.0,QUESTIONS ORALES,,
03 novembre 2022,4485.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
03 novembre 2022,4486.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
03 novembre 2022,4547.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
04 novembre 2022,4664.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11 quinquies  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4698.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 12,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
07 décembre 2022,8126.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
07 décembre 2022,8127.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
