Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,249.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,250.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,251.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
19 janvier 2022,681.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
19 janvier 2022,682.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
19 janvier 2022,683.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
19 janvier 2022,685.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
19 janvier 2022,694.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
25 janvier 2022,902.0,QUESTIONS ORALES,,
26 janvier 2022,1009.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
26 janvier 2022,1013.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
02 février 2022,1262.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
02 février 2022,1263.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
03 février 2022,1349.0,LUTTE CONTRE LES VIOLENCES FAITES AUX FEMMES ET LES FÉMINICIDES : LES MOYENS SONT-ILS À LA HAUTEUR ? Débat organisé à la demande du groupe communiste républicain citoyen et écologiste,,
