Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,6.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,7.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,10.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,19.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,20.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,21.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
10 janvier 2022,210.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,215.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
12 janvier 2022,391.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
18 janvier 2022,585.0,DÉMOCRATISATION DU SPORT,Après l’article 1er quater,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
20 janvier 2022,790.0,PROTECTION DES ENFANTS,Article 15 bis,PROJET DE LOI RELATIF À LA PROTECTION DES ENFANTS TITRE IER
20 janvier 2022,798.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 4,PROPOSITION DE LOI INTERDISANT LES PRATIQUES VISANT À MODIFIER L’ORIENTATION SEXUELLE OU L’IDENTITÉ DE GENRE D’UNE PERSONNE
