Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,272.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,297.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,354.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,402.0,GESTION DE LA CRISE SANITAIRE,Article 1er quinquies A (Non modifié),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,747.0,DÉMOCRATISATION DU SPORT,Article 11 bis B (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
25 janvier 2022,908.0,QUESTIONS ORALES,,
25 janvier 2022,909.0,QUESTIONS ORALES,,
26 janvier 2022,1012.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
26 janvier 2022,1013.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
28 juillet 2022,2609.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 1er,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
01 août 2022,2878.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2941.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
