Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,145.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
06 janvier 2022,161.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
06 janvier 2022,162.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
11 janvier 2022,277.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,295.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,357.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
20 janvier 2022,788.0,PROTECTION DES ENFANTS,Article 15 bis,PROJET DE LOI RELATIF À LA PROTECTION DES ENFANTS TITRE IER
26 janvier 2022,1076.0,RÉFORME DE L’ADOPTION,Article 9,ADOPTION EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1086.0,RÉFORME DE L’ADOPTION,Article 11 quater (Non modifié),PROPOSITION DE LOI VISANT À RÉFORMER L’ADOPTION TITRE IER
26 janvier 2022,1090.0,RÉFORME DE L’ADOPTION,Article 14 (Non modifié),PROPOSITION DE LOI VISANT À RÉFORMER L’ADOPTION TITRE IER
26 janvier 2022,1091.0,RÉFORME DE L’ADOPTION,Article 14 (Non modifié),PROPOSITION DE LOI VISANT À RÉFORMER L’ADOPTION TITRE IER
09 février 2022,1506.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
23 février 2022,2091.0,COMMUNICATION D’AVIS  SUR DES PROJETS DE NOMINATIONS,Article 8,REJET D’UNE PROPOSITION DE LOI
13 juillet 2022,2344.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
13 juillet 2022,2345.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
06 octobre 2022,3608.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
06 octobre 2022,3609.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
06 octobre 2022,3614.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
19 octobre 2022,4057.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
25 octobre 2022,4273.0,FONCTIONNEMENT DU MARCHÉ DU TRAVAIL  EN VUE DU PLEIN EMPLOI,Article 4,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
07 novembre 2022,4861.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,,DISCUSSION D’UN PROJET DE LOI
07 novembre 2022,4890.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE  POUR 2023,Après l’article 5,PROJET DE LOI DE FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR
07 novembre 2022,4893.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE  POUR 2023,Après l’article 5,PROJET DE LOI DE FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR
07 novembre 2022,4916.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE  POUR 2023,Après l’article 7 quinquies,PROJET DE LOI DE FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR
08 novembre 2022,4977.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4979.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,5020.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5096.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 17,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5097.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 17,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5193.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 25,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5204.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 25,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5256.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 32,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5287.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 33 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5289.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 34,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5300.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 35,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5302.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 35,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5310.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 35 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5355.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 43,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5367.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 47,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7127.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7128.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7129.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7130.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7140.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 décembre 2022,8200.0,CRÉATION DE DÉLÉGATIONS PARLEMENTAIRES  AUX DROITS DE L’ENFANT,Article 4 (Non modifié),REJET D’UNE PROPOSITION DE LOI
08 décembre 2022,8202.0,CRÉATION DE DÉLÉGATIONS PARLEMENTAIRES  AUX DROITS DE L’ENFANT,Article unique,PROPOSITION DE LOI TENDANT À LA CRÉATION DE DÉLÉGATIONS PARLEMENTAIRES AUX DROITS DE L’ENFANT
13 décembre 2022,8310.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
13 décembre 2022,8377.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,Article 31,SUITE DE LA DISCUSSION ET ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
14 décembre 2022,8394.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
