Date_seances,Num_page,Titre,Texte,Thème
06 janvier 2022,151.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
06 janvier 2022,152.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
12 janvier 2022,380.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
13 janvier 2022,447.0,PLATEFORME DE RÉFÉRENCEMENT  DES MALADES CHRONIQUES  DE LA COVID- 19,,ADOPTION DÉFINITIVE D’UNE PROPOSITION DE LOI
13 janvier 2022,450.0,PLATEFORME DE RÉFÉRENCEMENT  DES MALADES CHRONIQUES  DE LA COVID- 19,,ADOPTION DÉFINITIVE D’UNE PROPOSITION DE LOI
13 janvier 2022,456.0,PLATEFORME DE RÉFÉRENCEMENT  DES MALADES CHRONIQUES  DE LA COVID- 19,Article 1er,PROPOSITION DE LOI VISANT À LA CRÉATION D’UNE PLATEFORME DE RÉFÉRENCEMENT ET DE PRISE EN CHARGE DES MALADES CHRONIQUES DE LA COVID
13 janvier 2022,457.0,PLATEFORME DE RÉFÉRENCEMENT  DES MALADES CHRONIQUES  DE LA COVID- 19,Article 1er,PROPOSITION DE LOI VISANT À LA CRÉATION D’UNE PLATEFORME DE RÉFÉRENCEMENT ET DE PRISE EN CHARGE DES MALADES CHRONIQUES DE LA COVID
13 janvier 2022,459.0,PLATEFORME DE RÉFÉRENCEMENT  DES MALADES CHRONIQUES  DE LA COVID- 19,Après l’article 2,PROPOSITION DE LOI VISANT À LA CRÉATION D’UNE PLATEFORME DE RÉFÉRENCEMENT ET DE PRISE EN CHARGE DES MALADES CHRONIQUES DE LA COVID
20 janvier 2022,792.0,PROTECTION DES ENFANTS,Article 15 bis,PROJET DE LOI RELATIF À LA PROTECTION DES ENFANTS TITRE IER
20 janvier 2022,800.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 4,PROPOSITION DE LOI INTERDISANT LES PRATIQUES VISANT À MODIFIER L’ORIENTATION SEXUELLE OU L’IDENTITÉ DE GENRE D’UNE PERSONNE
